bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-25 13:57:00+00:00,2020-03-25 07:57:00,20200325  07:57:00,244.06,244.29,243.61,243.83,8755,3805,243.957,26.0,11.0,15.0,1.0,10.0,-9.0,-0.3461538461538461,-0.8181818181818182,-0.0010242543428383,-0.0045723617064705,-0.0039781815199113,-0.0080793995816758,7
2020-03-25 14:35:00+00:00,2020-03-25 08:35:00,20200325  08:35:00,242.92,243.06,242.28,242.41,2491,1431,242.709,20.0,9.0,11.0,1.0,8.0,-7.0,-0.35,-0.7777777777777778,-0.0021816086276447,-0.0039446110860007,0.0037127181221896,0.0070541644321604,8
2020-03-25 15:13:00+00:00,2020-03-25 09:13:00,20200325  09:13:00,245.49,245.79,245.09,245.67,2813,1700,245.374,14.0,8.0,6.0,1.0,7.0,-6.0,-0.4285714285714285,-0.75,0.0008963128946832,-0.0030840400925212,-0.0012618553343916,0.0005698701510157,9
2020-03-25 15:45:00+00:00,2020-03-25 09:45:00,20200325  09:45:00,245.12,245.15,244.73,245.02,4106,1502,244.945,21.0,9.0,12.0,3.0,6.0,-3.0,-0.1428571428571428,-0.3333333333333333,-0.0003671820815144,-0.0004895161948273,-0.0012243898457269,0.002775283650314,9
2020-03-25 16:17:00+00:00,2020-03-25 10:17:00,20200325  10:17:00,248.63,248.8,248.55,248.75,2010,1075,248.702,13.0,5.0,8.0,3.0,2.0,1.0,0.0769230769230769,0.2,0.0004021717273274,0.0051723441225199,-0.0010854271356783,0.0016884422110552,10
2020-03-25 16:48:00+00:00,2020-03-25 10:48:00,20200325  10:48:00,251.8,252.11,251.41,251.42,7046,3286,251.836,23.0,13.0,10.0,5.0,8.0,-3.0,-0.1304347826086956,-0.2307692307692307,-0.0014694785336987,0.0009554900867903,0.0001590963328295,-0.000318192665659,10
2020-03-25 17:48:00+00:00,2020-03-25 11:48:00,20200325  11:48:00,256.3,256.35,255.51,255.56,6860,3461,255.859,25.0,6.0,19.0,4.0,2.0,2.0,0.08,0.3333333333333333,-0.002887241513851,0.0003522918542295,0.0003130380341211,-0.0019956174675223,11
2020-03-25 18:19:00+00:00,2020-03-25 12:19:00,20200325  12:19:00,253.59,254.58,253.56,254.39,4519,1979,254.143,21.0,9.0,12.0,3.0,6.0,-3.0,-0.1428571428571428,-0.3333333333333333,0.0033525282006783,0.0027197477335434,0.0017689374582334,-0.0017689374582333,12
2020-03-25 19:06:00+00:00,2020-03-25 13:06:00,20200325  13:06:00,254.88,255.25,254.7,254.72,2019,1049,255.011,21.0,11.0,10.0,7.0,4.0,3.0,0.1428571428571428,0.2727272727272727,-0.0005493211959507,0.0006285355122563,3.925879396970977e-05,-0.0030621859296482,13
2020-03-25 20:05:00+00:00,2020-03-25 14:05:00,20200325  14:05:00,247.4,247.47,247.03,247.29,1695,629,247.26,24.0,12.0,12.0,1.0,11.0,-10.0,-0.4166666666666667,-0.8333333333333334,-0.0004850248575239,-0.001292354912968,-0.0002426301103967,0.0005256985725261,14
2020-03-25 20:36:00+00:00,2020-03-25 14:36:00,20200325  14:36:00,246.64,246.69,246.5,246.5,204,59,246.523,19.0,6.0,13.0,1.0,5.0,-4.0,-0.2105263157894736,-0.6666666666666666,-0.0004460484165281,-0.0002433484750162,-0.000811359026369,-0.0015821501014198,14
2020-03-25 21:10:00+00:00,2020-03-25 15:10:00,20200325  15:10:00,246.7,246.7,246.64,246.7,23,16,246.692,16.0,7.0,9.0,1.0,6.0,-5.0,-0.3125,-0.7142857142857143,0.0002432695426533,-0.0003646825236031,-0.0004053506282934,-0.0004053506282934,15
2020-03-25 21:51:00+00:00,2020-03-25 15:51:00,20200325  15:51:00,246.99,247.04,246.82,246.9,71,20,246.971,14.0,3.0,11.0,0.0,3.0,-3.0,-0.2142857142857142,-1.0,-0.0001214919207872,0.0002025521571804,0.0002835155933575,-4.0502227622640774e-05,15
2020-03-25 22:23:00+00:00,2020-03-25 16:23:00,20200325  16:23:00,247.77,247.77,247.6,247.62,23,10,247.684,20.0,8.0,12.0,1.0,7.0,-6.0,-0.3,-0.75,0.0,0.0033631832732283,-0.0011307648816735,-0.0025846054438253,16
2020-03-25 23:10:00+00:00,2020-03-25 17:10:00,20200325  17:10:00,246.74,246.77,246.68,246.74,91,20,246.732,15.0,6.0,9.0,1.0,5.0,-4.0,-0.2666666666666666,-0.6666666666666666,0.0001216002594139,0.0002837799489197,-0.0009321553051796,-0.0020669530680068,17
2020-03-25 23:45:00+00:00,2020-03-25 17:45:00,20200325  17:45:00,246.3,246.68,246.26,246.68,29,14,246.463,13.0,8.0,5.0,2.0,6.0,-4.0,-0.3076923076923077,-0.5,0.0014615134784021,0.0016648394039062,0.000689151937733,0.0004459218420624,17
2020-03-26 12:41:00+00:00,2020-03-26 06:41:00,20200326  06:41:00,244.71,245.1,244.39,245.0,982,256,244.897,24.0,12.0,12.0,6.0,6.0,0.0,0.0,0.0,0.001103256650186,0.0062428125513389,-0.0023265306122448,-0.0057142857142857,6
2020-03-26 13:17:00+00:00,2020-03-26 07:17:00,20200326  07:17:00,247.13,247.3,246.99,247.28,226,124,247.098,26.0,16.0,10.0,3.0,13.0,-10.0,-0.3846153846153846,-0.625,0.0008094544277157,0.0018637063447046,-0.0009301197023616,0.0025881591717891,7
2020-03-26 14:02:00+00:00,2020-03-26 08:02:00,20200326  08:02:00,253.47,253.53,252.83,253.11,4880,2611,253.166,25.0,10.0,15.0,4.0,6.0,-2.0,-0.08,-0.2,-0.0014202864244288,-0.0012626760841257,0.0002765595985934,0.0067954644225831,8
2020-03-26 14:36:00+00:00,2020-03-26 08:36:00,20200326  08:36:00,256.62,256.65,255.45,255.47,5495,3181,255.928,22.0,16.0,6.0,5.0,11.0,-6.0,-0.2727272727272727,-0.375,-0.0045201262518022,-0.0018753662824769,0.0012917367988414,-0.0010568755626884,8
2020-03-26 15:36:00+00:00,2020-03-26 09:36:00,20200326  09:36:00,258.24,258.24,257.63,258.05,3133,1594,257.842,24.0,11.0,13.0,6.0,5.0,1.0,0.0416666666666666,0.0909090909090909,-0.0007357496902106,0.0001162700565848,0.0023638829684169,0.0033326874636698,9
2020-03-26 16:09:00+00:00,2020-03-26 10:09:00,20200326  10:09:00,258.02,258.47,258.02,258.29,2306,1085,258.237,18.0,7.0,11.0,3.0,4.0,-1.0,-0.0555555555555555,-0.1428571428571428,0.001046430509263,-0.0022790482076636,-0.0019358085872468,-0.0024004026481861,10
