bar_time_utc,price_time_local,date,open,high,low,close,volume,barCount,average,tweet_count,labeled_count,unlabeled_count,bullish_count,bearish_count,sentiment_sum,sentiment_mean,labeled_sentiment_mean,return_1m,return_5m,forward_return_1m,forward_return_5m,hour
2020-03-30 15:39:00+00:00,2020-03-30 09:39:00,20200330  09:39:00,258.89,259.09,258.75,258.87,1692,956,258.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036180285593317,0.0013906594043342,0.0026654305249738,9
2020-04-01 16:26:00+00:00,2020-04-01 10:26:00,20200401  10:26:00,248.07,248.08,247.52,247.58,3668,1922,247.666,4.0,2.0,2.0,0.0,2.0,-2.0,-0.5,-1.0,-0.0020959290608625,-0.0019752489216752,-0.0004443008320543,0.0008886016641085,10
2020-04-13 16:13:00+00:00,2020-04-13 10:13:00,20200413  10:13:00,274.5,274.72,274.45,274.56,1986,939,274.627,3.0,2.0,1.0,2.0,0.0,2.0,0.6666666666666666,1.0,0.0002185792349727,0.0013859508352176,0.0007648601398599,0.0013840326340326,10
2020-04-08 17:55:00+00:00,2020-04-08 11:55:00,20200408  11:55:00,270.8,270.82,270.1,270.21,3240,1445,270.399,3.0,2.0,1.0,0.0,2.0,-2.0,-0.6666666666666666,-1.0,-0.0021787296898081,-0.0021050299135829,-0.000407090781244,0.0008511898153289,11
2020-04-01 18:28:00+00:00,2020-04-01 12:28:00,20200401  12:28:00,247.13,247.31,247.08,247.24,847,514,247.194,3.0,2.0,1.0,0.0,2.0,-2.0,-0.6666666666666666,-1.0,0.0004046289552481,-0.0004851228978007,-0.0001213395890632,-0.0030334897265814,12
2020-04-01 18:41:00+00:00,2020-04-01 12:41:00,20200401  12:41:00,246.91,247.02,246.72,246.97,1271,758,246.86,4.0,3.0,1.0,2.0,1.0,1.0,0.25,0.3333333333333333,0.0002024947351368,0.0007699165248398,-0.0005668704700975,-0.0002024537393205,12
2020-04-02 19:54:00+00:00,2020-04-02 13:54:00,20200402  13:54:00,251.05,251.86,251.0,251.67,9600,4927,251.431,3.0,1.0,2.0,0.0,1.0,-1.0,-0.3333333333333333,-1.0,0.0024696275642301,0.0078894673608329,0.0009933643263002,0.0009138951801963,13
2020-03-27 20:39:00+00:00,2020-03-27 14:39:00,20200327  14:39:00,252.2,252.35,252.2,252.32,32,18,252.289,4.0,3.0,1.0,1.0,2.0,-1.0,-0.25,-0.3333333333333333,0.0006742018639698,-0.0015037593984962,0.0003566899175651,-0.0001981610653137,14
2020-03-30 20:21:00+00:00,2020-03-30 14:21:00,20200330  14:21:00,261.63,261.68,261.57,261.57,371,45,261.642,4.0,2.0,2.0,2.0,0.0,2.0,0.5,1.0,-0.0003057519587233,0.0004589787722317,0.0004969988913101,-0.0001911534197347,14
2020-03-26 21:29:00+00:00,2020-03-26 15:29:00,20200326  15:29:00,262.01,262.18,262.01,262.17,38,17,262.115,2.0,1.0,1.0,0.0,1.0,-1.0,-0.5,-1.0,0.0006106637151255,0.0012220737063204,-0.000228859137201,0.0008010069802035,15
